University,Domain
ETH Zurich,www.ethz.ch
University of Berlin,www.fu-berlin.de
Gonzaga University,www.gonzaga.edu
Harvard University,www.harvard.edu
Harvey Mudd College,www.hmc.edu
Indian Institute of Technology Madras,www.iitm.ac.in
King's College London,www.kcl.ac.uk
Kyoto University,www.kyoto-u.ac.jp
National Autonomous University of Mexico,www.unam.mx
National University of Singapore,www.nus.edu.sg
Sorbonne University,www.sorbonne-universite.fr
Tsinghua University,www.tsinghua.edu.cn
University of Barcelona,www.ub.edu
University of British Columbia,www.ubc.ca
"University of California, Los Angeles",www.ucla.edu
University of Cambridge,www.cam.ac.uk
University of Melbourne,www.unimelb.edu.au
University of North Dakota,www.und.edu
University of Oxford,www.ox.ac.uk
University of Toronto,www.toronto.edu
University of Zaragoza,www.unizar.es
Victoria University of Wellington,www.vuw.ac.nz
Worcester Polytechnic Institute,www.wpi.edu
