University,Domain,IP_City,IP_Region,IP_Country,IP_Latitude,IP_Longitude
ETH Zurich,www.ethz.ch,Zürich,Zurich,CH,47.3667,8.5500
University of Berlin,www.fu-berlin.de,Berlin,State of Berlin,DE,52.5244,13.4105
Gonzaga University,www.gonzaga.edu,Moses Lake,Washington,US,47.1301,-119.2781
Harvard University,www.harvard.edu,San Francisco,California,US,37.7749,-122.4194
Harvey Mudd College,www.hmc.edu,Portland,Oregon,US,45.5234,-122.6762
Indian Institute of Technology Madras,www.iitm.ac.in,Nerkunram,Tamil Nadu,IN,13.0659,80.2365
King's College London,www.kcl.ac.uk,Manchester,England,GB,53.4809,-2.2374
Kyoto University,www.kyoto-u.ac.jp,Ashburn,Virginia,US,39.0437,-77.4875
National Autonomous University of Mexico,www.unam.mx,San Francisco,California,US,37.7621,-122.3971
National University of Singapore,www.nus.edu.sg,San Mateo,California,US,37.5395,-122.2998
Sorbonne University,www.sorbonne-universite.fr,San Francisco,California,US,37.7621,-122.3971
Tsinghua University,www.tsinghua.edu.cn,Beijing,Beijing,CN,39.9075,116.3972
University of Barcelona,www.ub.edu,Girona,Catalonia,ES,41.9831,2.8249
University of British Columbia,www.ubc.ca,South Riding,Virginia,US,38.9209,-77.5039
"University of California, Los Angeles",www.ucla.edu,South Riding,Virginia,US,38.9209,-77.5039
University of Cambridge,www.cam.ac.uk,San Francisco,California,US,37.7929,-122.4079
University of Melbourne,www.unimelb.edu.au,Sydney,New South Wales,AU,-33.8678,151.2073
University of North Dakota,www.und.edu,Grand Forks,North Dakota,US,47.9253,-97.0328
University of Oxford,www.ox.ac.uk,San Francisco,California,US,37.7621,-122.3971
University of Toronto,www.toronto.edu,Toronto,Ontario,CA,43.7064,-79.3986
University of Zaragoza,www.unizar.es,Teruel,Aragon,ES,40.3456,-1.1065
Victoria University of Wellington,www.vuw.ac.nz,Wellington,Wellington Region,NZ,-41.2866,174.7756
Worcester Polytechnic Institute,www.wpi.edu,Ashburn,Virginia,US,39.0437,-77.4875
