University,Domain,IP,RTT_min,RTT_max,RTT_median,RTT_mean
ETH Zurich,www.ethz.ch,129.132.19.216,85.0,314.0,86.5,99.9
University of Berlin,www.fu-berlin.de,160.45.170.10,98.0,244.0,103.5,114.4
Gonzaga University,www.gonzaga.edu,20.72.217.90,81.0,109.0,84.5,86.35
Harvard University,www.harvard.edu,192.0.66.20,17.0,35.0,20.0,21.6
Harvey Mudd College,www.hmc.edu,66.33.202.112,77.0,95.0,80.0,82.15
Indian Institute of Technology Madras,www.iitm.ac.in,103.158.42.45,300.0,378.0,340.5,341.05
King's College London,www.kcl.ac.uk,185.18.139.104,75.0,225.0,80.0,87.6
Kyoto University,www.kyoto-u.ac.jp,146.75.30.132,18.0,36.0,19.0,21.0
National Autonomous University of Mexico,www.unam.mx,104.17.117.46,18.0,28.0,19.0,20.55
National University of Singapore,www.nus.edu.sg,45.60.31.225,16.0,31.0,17.0,17.95
Sorbonne University,www.sorbonne-universite.fr,151.101.130.216,17.0,21.0,19.0,19.1
Tsinghua University,www.tsinghua.edu.cn,101.6.15.66,256.0,310.0,258.5,264.55
University of Barcelona,www.ub.edu,161.116.110.164,104.0,165.0,106.5,110.45
University of British Columbia,www.ubc.ca,3.167.69.48,15.0,31.0,19.0,19.3
"University of California, Los Angeles",www.ucla.edu,3.171.61.25,16.0,52.0,18.0,19.6
University of Cambridge,www.cam.ac.uk,23.185.0.3,15.0,21.0,17.0,17.35
University of Melbourne,www.unimelb.edu.au,2.58.104.11,16.0,23.0,18.0,18.45
University of North Dakota,www.und.edu,134.129.183.70,45.0,54.0,49.0,48.85
University of Oxford,www.ox.ac.uk,172.66.169.161,16.0,20.0,17.0,17.45
University of Toronto,www.toronto.edu,128.100.5.23,21.0,26.0,23.0,22.95
University of Zaragoza,www.unizar.es,155.210.11.203,96.0,135.0,97.0,99.4
Victoria University of Wellington,www.vuw.ac.nz,130.195.2.29,214.0,323.0,239.0,243.05
Worcester Polytechnic Institute,www.wpi.edu,184.73.245.212,16.0,21.0,17.5,17.7
